CFN;Descripcion_Producto;QtyDisponible;forecasttotal;demand;QtyBloqued;QtyQI;QtyRestricted;UOM;Sloc;forecast
10020263;10020263 ES RM UPGRADE KIT 840 X1;1;0;0;0;0;0;EA;4023;10020263
10035086;10035086 COMPRESSOR MOUNT CART 840 VENT;1;0;0;0;0;0;EA;4016;10035086
10035086;10035086 COMPRESSOR MOUNT CART 840 VENT;1;0;0;0;0;0;EA;4016;10035086
10035086;10035086 COMPRESSOR MOUNT CART 840 VENT;7;0;0;0;0;0;EA;4000;10035086
10035086;10035086 COMPRESSOR MOUNT CART 840 VENT;10;0;0;0;0;0;EA;4000;10035086
10035086;10035086 COMPRESSOR MOUNT CART 840 VENT;9;0;0;0;0;0;EA;4000;10035086
10035086;10035086 COMPRESSOR MOUNT CART 840 VENT;8;0;0;0;0;0;EA;4000;10035086
10043551;10043551 980 PAED/ ADT EXP FILTER DISP2;1;318;12;0;0;0;EA;40A0;10043551
10043551;10043551 980 PAED/ ADT EXP FILTER DISP2;1;318;12;0;0;0;EA;40A0;10043551
10043551;10043551 980 PAED/ ADT EXP FILTER DISP2;5;318;12;0;0;0;EA;40A0;10043551
10043551;10043551 980 PAED/ ADT EXP FILTER DISP2;5;318;12;0;0;0;EA;40A0;10043551
10043551;10043551 980 PAED/ ADT EXP FILTER DISP2;1;318;12;0;0;0;EA;T013;10043551
10043551;10043551 980 PAED/ ADT EXP FILTER DISP2;1;318;12;0;0;0;EA;T013;10043551
10043551;10043551 980 PAED/ ADT EXP FILTER DISP2;7;318;12;0;0;0;EA;TLOC;10043551
10043551;10043551 980 PAED/ ADT EXP FILTER DISP2;7;318;12;0;0;0;EA;TLOC;10043551
10043551;10043551 980 PAED/ ADT EXP FILTER DISP2;60;318;12;0;0;0;EA;4000;10043551
10043551;10043551 980 PAED/ ADT EXP FILTER DISP2;60;318;12;0;0;0;EA;4000;10043551
10043551;10043551 980 PAED/ ADT EXP FILTER DISP2;7;318;12;0;0;0;EA;40A0;10043551
10043551;10043551 980 PAED/ ADT EXP FILTER DISP2;7;318;12;0;0;0;EA;40A0;10043551
10043551;10043551 980 PAED/ ADT EXP FILTER DISP2;36;318;12;0;0;0;EA;4000;10043551
