CFN,Demand,Forecast,Lag 2 % Consumed,Lag 1 % Consumed,Lag 0 % Consumed,Backorder $ (USD),Weeks of Coverage
126141,2,0,DMD NO FCST,DMD NO FCST,DMD NO FCST,,
3.0PEF,2,500,1%,1%,0%,,1,7
3.5NEF,2,113,2%,2%,2%,,12,6
6FEN,2,43,5%,5%,5%,$32,60,7
70XLTCD,2,2,81%,81%,81%,,2.906,8
80XLTCP,2,12,16%,16%,16%,,2.121,8
10LPC,1,0,DMD NO FCST,DMD NO FCST,DMD NO FCST,,227,8
4FEN,1,3,29%,29%,29%,$32,26,6
980U3ESDIUU,1,0,DMD NO FCST,DMD NO FCST,DMD NO FCST,,263,7
SSVO,1,35,3%,3%,3%,,82,0
10005002,0,0,NaN,NaN,NaN,,15.508,9
10020263,0,0,FCST NO DMD,NaN,NaN,,
10035086,0,0,FCST NO DMD,NaN,NaN,,
10047078,0,9,FCST NO DMD,FCST NO DMD,FCST NO DMD,,11.268,6
10049998,0,0,FCST NO DMD,NaN,NaN,,
10051503,0,0,FCST NO DMD,NaN,NaN,,
10063031,0,0,FCST NO DMD,NaN,NaN,,600,6
10063033,0,5,FCST NO DMD,FCST NO DMD,FCST NO DMD,,324,5
10078386,0,21,FCST NO DMD,FCST NO DMD,FCST NO DMD,,1.690,6
10078387,0,60,FCST NO DMD,FCST NO DMD,FCST NO DMD,,1.045,4
10084331,0,0,NaN,NaN,NaN,,5.009,3
10084332,0,0,NaN,NaN,NaN,,3.967,8
10084334,0,0,NaN,NaN,NaN,,3.309,4
10086042,0,6,NaN,FCST NO DMD,FCST NO DMD,,7.394,3
10086048,0,0,FCST NO DMD,NaN,NaN,,
10086049,0,0,NaN,NaN,NaN,,3.899,7
10086050,0,0,NaN,NaN,NaN,,4.999,9
10087409,0,0,NaN,NaN,NaN,,
10097468,0,5,FCST NO DMD,FCST NO DMD,FCST NO DMD,,1.544,6
109-03,0,2,FCST NO DMD,FCST NO DMD,FCST NO DMD,,526,2
109-05,0,0,FCST NO DMD,NaN,NaN,,
10CN10A,0,10,FCST NO DMD,FCST NO DMD,FCST NO DMD,,1.096,7
10CN10ED,0,0,FCST NO DMD,NaN,NaN,,
10CN10ER,0,5,FCST NO DMD,FCST NO DMD,FCST NO DMD,,
10CN10R,0,1,FCST NO DMD,FCST NO DMD,FCST NO DMD,,13.384,0
10DCT,0,0,NaN,NaN,NaN,,
10FEN,0,4,FCST NO DMD,FCST NO DMD,FCST NO DMD,,2.858,4
10SCT,0,1,FCST NO DMD,FCST NO DMD,FCST NO DMD,,2.720,7
111/1146,0,3,FCST NO DMD,FCST NO DMD,FCST NO DMD,,917,4
114-30,0,0,NaN,NaN,NaN,,
114-40,0,0,NaN,NaN,NaN,,
114-50,0,0,NaN,NaN,NaN,,
114-60,0,0,NaN,NaN,NaN,,
125028,0,2,FCST NO DMD,FCST NO DMD,FCST NO DMD,,6.833,7
125032,0,12,FCST NO DMD,FCST NO DMD,FCST NO DMD,,1.422,6
125141-,0,2,FCST NO DMD,FCST NO DMD,FCST NO DMD,,572,0
126041,0,11,FCST NO DMD,FCST NO DMD,FCST NO DMD,,1.698,4
126135,0,2,FCST NO DMD,FCST NO DMD,FCST NO DMD,,42,7
126137,0,6,FCST NO DMD,FCST NO DMD,FCST NO DMD,,81,4
126139,0,2,FCST NO DMD,FCST NO DMD,FCST NO DMD,,170,9
18875S,0,0,FCST NO DMD,NaN,NaN,,
18880S,0,0,NaN,NaN,NaN,,
2.5NCF,0,3,FCST NO DMD,FCST NO DMD,FCST NO DMD,,12,8
2.5NEF,0,85,FCST NO DMD,FCST NO DMD,FCST NO DMD,,29,4
2.5PCF,0,1,FCST NO DMD,FCST NO DMD,FCST NO DMD,,11,9
2.5PEF,0,1,FCST NO DMD,FCST NO DMD,FCST NO DMD,,4.480,8
287/7843,0,0,NaN,NaN,NaN,,
3.0NCF,0,3,FCST NO DMD,FCST NO DMD,FCST NO DMD,$214,480,2
3.0NEF,0,51,FCST NO DMD,FCST NO DMD,FCST NO DMD,,115,4
3.0PCF,0,2,FCST NO DMD,FCST NO DMD,FCST NO DMD,,19,6
3.5NCF,0,3,FCST NO DMD,FCST NO DMD,FCST NO DMD,,58,8
3.5NEO,0,0,NaN,NaN,NaN,$357,334,9
3.5PCF,0,2,FCST NO DMD,FCST NO DMD,FCST NO DMD,,1,4
3.5PEF,0,114,FCST NO DMD,FCST NO DMD,FCST NO DMD,,10,8
300/13316,0,0,NaN,NaN,NaN,,
300/13330,0,480,FCST NO DMD,FCST NO DMD,FCST NO DMD,,267,8
300-000-000,0,15,FCST NO DMD,FCST NO DMD,FCST NO DMD,,531,3
304/13031,0,22,FCST NO DMD,FCST NO DMD,FCST NO DMD,,575,8
304/6085,0,12,FCST NO DMD,FCST NO DMD,FCST NO DMD,,3.317,9
305/6713,0,0,NaN,NaN,NaN,,
305/6852,0,3,FCST NO DMD,FCST NO DMD,FCST NO DMD,,1.756,4
331/5389,0,0,FCST NO DMD,NaN,NaN,,
331/5391,0,0,FCST NO DMD,NaN,NaN,$1.991,
350/5422,0,211,FCST NO DMD,FCST NO DMD,FCST NO DMD,,3.129,4
350/5865,0,139,FCST NO DMD,FCST NO DMD,FCST NO DMD,,6.810,0
350/5879,0,289,FCST NO DMD,FCST NO DMD,FCST NO DMD,,16.581,5
350-017-000,0,198,FCST NO DMD,FCST NO DMD,FCST NO DMD,,346,8
352/5805,0,0,NaN,NaN,NaN,,
353P5908,0,0,NaN,NaN,NaN,,
354/5876,0,0,FCST NO DMD,NaN,NaN,,
4.0NCF,0,3,FCST NO DMD,FCST NO DMD,FCST NO DMD,$214,22,3
4.0NEF,0,80,FCST NO DMD,FCST NO DMD,FCST NO DMD,,685,7
4.0PCF,0,5,FCST NO DMD,FCST NO DMD,FCST NO DMD,,3,5
4.0PED,0,121,FCST NO DMD,FCST NO DMD,FCST NO DMD,$853,508,6
4.0PEF,0,150,FCST NO DMD,FCST NO DMD,FCST NO DMD,,13,5
4.5NCF,0,3,FCST NO DMD,FCST NO DMD,FCST NO DMD,,105,7
4.5NEF,0,9,FCST NO DMD,FCST NO DMD,FCST NO DMD,,2.624,2
4.5NEO,0,0,NaN,NaN,NaN,,
4.5PCF,0,4,FCST NO DMD,FCST NO DMD,FCST NO DMD,,0,7
4.5PDC,0,0,NaN,NaN,NaN,,36,8
4.5PEF,0,80,FCST NO DMD,FCST NO DMD,FCST NO DMD,,17,8
4-006308-00,0,9,FCST NO DMD,FCST NO DMD,FCST NO DMD,,715,9
4-070305-00,0,18,FCST NO DMD,FCST NO DMD,FCST NO DMD,,4.030,7
4-074600-00,0,7,FCST NO DMD,FCST NO DMD,FCST NO DMD,,8.545,5
4-074647-00,0,8,FCST NO DMD,FCST NO DMD,FCST NO DMD,,6.147,5
4-076271-00,0,0,FCST NO DMD,NaN,NaN,,
4-076330-00,0,0,NaN,NaN,NaN,,
4-076376-00,0,0,FCST NO DMD,NaN,NaN,,
4-076405-00,0,0,FCST NO DMD,NaN,NaN,,
4-076408-00,0,305,FCST NO DMD,FCST NO DMD,FCST NO DMD,,273,3
4-076900-00,0,112,FCST NO DMD,FCST NO DMD,FCST NO DMD,,1.525,1
4-078134-00,0,0,FCST NO DMD,NaN,NaN,,
4-078205-00,0,0,FCST NO DMD,NaN,NaN,,
444S02608,0,10,FCST NO DMD,FCST NO DMD,FCST NO DMD,,4.187,3
444S02610,0,2,FCST NO DMD,FCST NO DMD,FCST NO DMD,,6.186,1
444SP00014,0,0,NaN,NaN,NaN,,4.480,0
444SP00016,0,11,FCST NO DMD,FCST NO DMD,FCST NO DMD,,908,9
