CFN;Descripcion_Producto;QtyDisponible;forecasttotal;demand;QtyBloqued;QtyQI;QtyRestricted;UOM;Sloc;forecast
8633;WIRE ANG 008633 10PK .035 260 CTD GDE;42;;;0;0;0;EA;4001;
8633;WIRE ANG 008633 10PK .035 260 CTD GDE;30;;;0;0;0;EA;4001;
8953;WIRE ANG 008953 10PK .032INX145CM 3MM J;0;;;1;0;0;EA;1202;
8953;WIRE ANG 008953 10PK .032INX145CM 3MM J;20;;;0;0;0;EA;4001;
9818;009818 ADT/INTERMED SMART CAPNOLIN PLUS;175;;;0;0;0;EA;4000;
9818;009818 ADT/INTERMED SMART CAPNOLIN PLUS;13;;;0;0;0;EA;4017;
9818;009818 ADT/INTERMED SMART CAPNOLIN PLUS;100;;;0;0;0;EA;4000;
9818;009818 ADT/INTERMED SMART CAPNOLIN PLUS;50;;;0;0;0;EA;4000;
9822;009822 ADT/INTERMED SMART CAPNOLIN PLO2;15;;;0;0;0;EA;40A0;
9822;009822 ADT/INTERMED SMART CAPNOLIN PLO2;1425;;;0;0;0;EA;4000;
9826;009826 ADT/INTERMED LNG SMART CL PLUSO2;23;;;0;0;0;EA;40A0;
9826;009826 ADT/INTERMED LNG SMART CL PLUSO2;100;;;0;0;0;EA;4000;
9826;009826 ADT/INTERMED LNG SMART CL PLUSO2;275;;;0;0;0;EA;4000;
9826;009826 ADT/INTERMED LNG SMART CL PLUSO2;150;;;0;0;0;EA;1400;
9826;009826 ADT/INTERMED LNG SMART CL PLUSO2;100;;;0;0;0;EA;4000;
10172;010172 SMART OMNILINE PLUS;10;;;0;0;0;EA;40A0;
10172;010172 SMART OMNILINE PLUS;175;;;0;0;0;EA;4000;
10387;WIRE ANG 010387 10PK .025X145CM PC SG;10;;;0;0;0;EA;4001;
10388;WIRE ANG 010388 10PK .025X145CM 3MMJPCS;0;;;1;0;0;EA;1202;
10388;WIRE ANG 010388 10PK .025X145CM 3MMJPCS;9;;;0;0;0;EA;4001;
10433;010433 ADT/INTERMED SMART CL H PLUSO2;12;;;0;0;0;EA;4017;
10433;010433 ADT/INTERMED SMART CL H PLUSO2;375;;;0;0;0;EA;4000;
10433;010433 ADT/INTERMED SMART CL H PLUSO2;950;;;0;0;0;EA;4000;
10433;010433 ADT/INTERMED SMART CL H PLUSO2;200;;;0;0;0;EA;4000;
10433;010433 ADT/INTERMED SMART CL H PLUSO2;375;;;0;0;0;EA;4000;
10516;010516 PRINTER PAPER X6;60;;;0;0;0;EA;4000;
10555;010555 MALE TO MALE ADAPTER X25;23;;;0;0;0;EA;40A0;
10555;010555 MALE TO MALE ADAPTER X25;25;;;0;0;0;EA;4200;
10555;010555 MALE TO MALE ADAPTER X25;75;;;0;0;0;EA;4000;
10555;010555 MALE TO MALE ADAPTER X25;125;;;0;0;0;EA;4000;
10582;010582 PAED SMART CAPNOLINE H O2;23;;;0;0;0;EA;40A0;
10582;010582 PAED SMART CAPNOLINE H O2;450;;;0;0;0;EA;4000;
10582;010582 PAED SMART CAPNOLINE H O2;225;;;0;0;0;EA;4000;
10713;010713 CAPNOSTREAM MOUNTING PLATE;9;;;0;0;0;EA;4000;
10713;010713 CAPNOSTREAM MOUNTING PLATE;1;;;0;0;0;EA;4000;
10807;010807 INF/NEO VITALINE H SET;25;;;0;0;0;EA;4000;
10989;010989 ADT/PAED AIRWAY ADAPTER;300;;;0;0;0;EA;4000;
10989;010989 ADT/PAED AIRWAY ADAPTER;20;;;0;0;0;EA;40A0;
10989;010989 ADT/PAED AIRWAY ADAPTER;350;;;0;0;0;EA;4000;
10991;010991 OMNILINE SAMPLING LINE X25;14;;;0;0;0;EA;40A0;
10991;010991 OMNILINE SAMPLING LINE X25;1125;;;0;0;0;EA;4000;
10991;010991 OMNILINE SAMPLING LINE X25;13;;;0;0;0;EA;40A0;
10991;010991 OMNILINE SAMPLING LINE X25;25;;;0;0;0;EA;4200;
10991;010991 OMNILINE SAMPLING LINE X25;25;;;0;0;0;EA;4200;
10994;010994 WATER TRAP X25;50;;;0;0;0;EA;4000;
10994;010994 WATER TRAP X25;450;;;0;0;0;EA;4000;
10994;010994 WATER TRAP X25;25;;;0;0;0;EA;4000;
10994;010994 WATER TRAP X25;16;;;0;0;0;EA;40A0;
10994;010994 WATER TRAP X25;100;;;0;0;0;EA;4000;
12000;012000 AUTOSONIX TRANSDUCER X1;1;;;0;0;0;EA;4000;
12000;012000 AUTOSONIX TRANSDUCER X1;1;;;0;0;0;EA;4000;
12024;012024 AUTOSONIX GENERATOR BOX X1;1;;;0;0;0;EA;4000;
12024;012024 AUTOSONIX GENERATOR BOX X1;1;;;0;0;0;EA;4000;
12024;012024 AUTOSONIX GENERATOR BOX X1;1;;;0;0;0;EA;4000;
12024;012024 AUTOSONIX GENERATOR BOX X1;1;;;0;0;0;EA;4000;
12111;012111 INF/NEO CAPNOLINE H O2;50;;;0;0;0;EA;4000;
12495;012495 OMNIVENTLINE SET X25;1250;;;0;0;0;EA;4000;
12495;012495 OMNIVENTLINE SET X25;0;;;25;0;0;EA;1202;
12495;012495 OMNIVENTLINE SET X25;350;;;0;0;0;EA;4000;
12495;012495 OMNIVENTLINE SET X25;400;;;0;0;0;EA;4000;
12495;012495 OMNIVENTLINE SET X25;23;;;0;0;0;EA;40A0;
12495;012495 OMNIVENTLINE SET X25;50;;;0;0;0;EA;4000;
12495;012495 OMNIVENTLINE SET X25;125;;;0;0;0;EA;4000;
12495;012495 OMNIVENTLINE SET X25;875;;;0;0;0;EA;4000;
